DISTANCIA   VECES QUE SE REPITE
1778.5     ->        1
1821.9     ->        1
1823.3     ->        1
1844.9     ->        1
1865.5     ->        1
1881.9     ->        1
1900.5     ->        1
1963.5     ->        1
1975.6     ->        1
1981.8     ->        1
1984.3     ->        1
1988.7     ->        1
2002.8     ->        1
2004.7     ->        1
2006.2     ->        1
2008.1     ->        1
2011.7     ->        1
 2013     ->        1
2014.6     ->        1
2023.9     ->        1
2024.8     ->        1
2038.6     ->        1
2038.9     ->        1
 2041     ->        1
 2042     ->        1
2053.3     ->        1
 2054     ->        1
2059.4     ->        1
 2060     ->        1
2071.5     ->        1
2074.7     ->        1
2075.6     ->        1
2081.7     ->        1
2087.7     ->        1
2088.7     ->        1
2089.3     ->        1
2090.9     ->        1
2095.4     ->        1
2095.9     ->        1
2099.7     ->        1
2101.7     ->        1
2103.6     ->        1
2104.9     ->        1
2107.8     ->        1
2111.3     ->        1
2113.7     ->        1
2116.7     ->        1
2117.2     ->        1
2118.1     ->        1
2120.7     ->        1
2122.7     ->        1
2125.1     ->        1
2127.8     ->        1
2128.4     ->        1
2129.6     ->        1
2129.7     ->        1
2129.9     ->        1
2130.7     ->        1
2132.2     ->        1
2132.9     ->        1
2134.8     ->        1
2135.1     ->        1
2135.5     ->        1
2136.6     ->        1
 2138     ->        1
2141.3     ->        1
2141.9     ->        1
2142.8     ->        1
2144.1     ->        1
2145.8     ->        1
2148.7     ->        1
2150.4     ->        1
2151.5     ->        1
2152.7     ->        1
 2157     ->        1
2157.2     ->        1
2157.6     ->        1
2158.9     ->        1
2160.4     ->        1
2161.3     ->        1
2164.2     ->        1
2164.6     ->        1
2165.5     ->        1
2165.6     ->        1
2166.2     ->        1
2166.4     ->        1
2168.5     ->        1
2169.9     ->        1
2170.5     ->        1
2170.8     ->        1
2171.6     ->        1
2172.8     ->        1
2174.7     ->        1
2175.7     ->        1
2176.2     ->        1
2176.6     ->        1
2177.2     ->        1
2177.6     ->        1
2177.9     ->        1
2178.5     ->        1
2178.7     ->        1
2179.7     ->        1
2180.1     ->        1
2180.2     ->        1
2180.8     ->        1
2180.9     ->        1
2181.4     ->        1
2181.5     ->        1
 2182     ->        1
2182.2     ->        1
 2184     ->        1
2185.1     ->        1
2185.5     ->        1
2185.9     ->        2
2186.6     ->        1
 2187     ->        1
2187.9     ->        1
2188.4     ->        1
 2189     ->        1
2189.6     ->        2
2190.6     ->        1
2191.4     ->        2
2191.7     ->        1
2192.4     ->        1
2192.7     ->        1
2193.2     ->        1
2193.3     ->        1
2197.7     ->        1
 2198     ->        1
2199.9     ->        1
 2200     ->        1
2200.1     ->        1
2201.9     ->        1
2202.3     ->        1
2203.2     ->        1
2203.8     ->        1
2204.3     ->        1
2204.8     ->        1
 2206     ->        1
2207.2     ->        1
 2208     ->        1
2209.7     ->        1
2210.2     ->        1
2210.4     ->        1
2211.5     ->        1
2213.3     ->        2
2214.9     ->        1
 2215     ->        1
2215.4     ->        1
 2216     ->        1
2216.5     ->        1
2216.6     ->        1
2216.7     ->        1
 2217     ->        2
2217.5     ->        1
2217.7     ->        1
 2218     ->        1
2218.2     ->        1
 2219     ->        1
2219.2     ->        1
2219.5     ->        2
2220.5     ->        1
2222.2     ->        1
2222.9     ->        2
2223.1     ->        1
2223.2     ->        1
2224.6     ->        1
2225.4     ->        1
2225.5     ->        1
 2226     ->        1
2227.6     ->        1
 2228     ->        1
2228.9     ->        1
 2229     ->        2
2229.2     ->        1
2229.8     ->        1
2231.3     ->        1
2231.6     ->        1
2232.4     ->        1
2233.4     ->        1
2233.8     ->        1
2234.4     ->        2
2234.8     ->        1
2235.2     ->        1
2235.4     ->        1
2236.1     ->        1
2236.2     ->        1
2236.4     ->        1
2237.7     ->        1
 2238     ->        2
2239.1     ->        1
2239.4     ->        1
2240.4     ->        1
2240.5     ->        1
2240.6     ->        2
2241.2     ->        1
2241.4     ->        1
2242.2     ->        1
2242.5     ->        1
 2244     ->        1
2245.3     ->        1
2245.6     ->        1
 2246     ->        2
2246.1     ->        1
2246.4     ->        1
 2247     ->        1
2247.2     ->        1
2247.5     ->        1
2248.2     ->        1
2248.5     ->        1
2249.1     ->        1
2249.4     ->        2
2249.9     ->        1
2250.2     ->        1
2251.8     ->        1
2253.1     ->        1
2253.2     ->        1
2253.8     ->        1
2253.9     ->        1
 2254     ->        2
2254.2     ->        1
 2255     ->        1
2255.3     ->        1
2255.4     ->        1
2255.5     ->        1
2255.6     ->        2
2255.9     ->        1
2256.4     ->        1
2256.5     ->        1
2256.6     ->        1
 2257     ->        1
2257.2     ->        1
2257.3     ->        1
2257.8     ->        1
2258.4     ->        1
 2259     ->        1
2259.2     ->        2
2259.5     ->        1
2260.9     ->        1
 2261     ->        2
2261.2     ->        1
2261.3     ->        1
2261.4     ->        1
2262.2     ->        1
2262.3     ->        1
2262.7     ->        1
2262.9     ->        2
2263.8     ->        1
2263.9     ->        2
2264.4     ->        1
 2265     ->        1
2265.6     ->        1
2265.7     ->        1
2265.8     ->        3
2265.9     ->        1
2266.1     ->        1
2266.2     ->        1
 2267     ->        2
2267.6     ->        1
2267.7     ->        1
