DISTANCIA   VECES QUE SE REPITE
1203.8     ->        1
1225.7     ->        1
1299.6     ->        1
1312.1     ->        1
1317.4     ->        1
1322.7     ->        1
 1330     ->        1
1353.4     ->        1
1357.5     ->        1
1364.8     ->        1
1373.1     ->        1
1373.8     ->        1
1376.6     ->        1
1377.6     ->        1
1381.7     ->        1
1384.8     ->        1
1395.8     ->        1
1397.4     ->        1
1400.1     ->        1
1405.6     ->        1
1409.4     ->        1
1417.3     ->        1
1420.3     ->        1
1420.5     ->        1
1423.1     ->        1
 1424     ->        1
1430.7     ->        1
 1434     ->        1
1434.8     ->        1
1436.7     ->        1
1437.2     ->        1
1437.3     ->        1
1437.5     ->        1
1437.8     ->        1
1439.4     ->        1
1440.9     ->        1
1444.3     ->        1
1444.4     ->        2
1446.6     ->        1
 1448     ->        1
1452.2     ->        1
1461.8     ->        1
1465.7     ->        1
1467.8     ->        1
 1469     ->        2
1471.4     ->        1
1474.8     ->        1
1475.1     ->        1
 1480     ->        1
 1481     ->        1
1481.1     ->        1
1482.6     ->        1
1484.8     ->        1
1485.6     ->        1
1490.7     ->        1
1495.3     ->        1
1496.5     ->        1
1497.2     ->        1
1502.3     ->        1
1502.6     ->        1
1505.3     ->        1
 1508     ->        1
1508.6     ->        1
 1509     ->        1
1510.5     ->        2
1512.1     ->        1
 1517     ->        1
1519.8     ->        2
1520.4     ->        1
1520.8     ->        2
1522.3     ->        1
1522.4     ->        1
1525.3     ->        1
1525.6     ->        1
1526.5     ->        1
1527.1     ->        1
1527.6     ->        1
1527.8     ->        1
1528.6     ->        1
1528.8     ->        2
1528.9     ->        1
1530.2     ->        1
 1531     ->        1
 1532     ->        1
1533.3     ->        1
1534.2     ->        1
1534.3     ->        1
1536.4     ->        1
1537.3     ->        2
1537.5     ->        1
 1538     ->        2
1539.3     ->        1
1539.4     ->        1
1541.5     ->        1
1542.1     ->        1
1543.1     ->        1
1543.4     ->        1
1543.7     ->        1
1543.9     ->        1
1545.1     ->        1
1545.5     ->        1
1546.3     ->        1
1546.4     ->        1
 1547     ->        1
1547.1     ->        1
1547.6     ->        1
 1548     ->        2
1549.3     ->        2
1549.4     ->        1
1549.5     ->        1
1549.8     ->        1
1550.5     ->        1
1551.4     ->        1
1551.6     ->        1
1552.3     ->        1
1552.6     ->        1
1552.8     ->        1
 1553     ->        1
1554.2     ->        1
 1555     ->        1
1557.7     ->        1
1559.1     ->        1
1559.2     ->        2
1559.4     ->        1
1559.6     ->        1
1559.9     ->        1
1561.3     ->        1
1562.8     ->        1
1563.9     ->        1
1565.8     ->        1
 1567     ->        1
1567.2     ->        2
 1569     ->        1
1570.1     ->        1
1570.4     ->        1
1570.5     ->        1
1570.6     ->        1
1572.1     ->        1
1572.4     ->        1
1572.5     ->        1
1572.7     ->        1
1573.2     ->        1
1573.4     ->        1
1573.6     ->        1
1574.2     ->        1
1574.6     ->        1
 1575     ->        2
1575.9     ->        1
1576.1     ->        1
1576.4     ->        1
1576.9     ->        2
1578.9     ->        1
1580.8     ->        1
1581.8     ->        1
1582.1     ->        1
1582.4     ->        1
 1583     ->        1
1583.4     ->        1
 1584     ->        1
1584.1     ->        1
1584.8     ->        1
1585.1     ->        1
 1586     ->        1
1586.4     ->        1
1586.6     ->        1
1586.7     ->        1
1586.9     ->        1
 1587     ->        1
1587.2     ->        1
1588.5     ->        1
1589.3     ->        1
1590.4     ->        1
 1591     ->        1
1591.1     ->        1
1591.9     ->        1
1592.1     ->        1
1592.9     ->        1
1593.2     ->        1
1593.3     ->        1
1593.5     ->        1
1593.8     ->        1
1594.2     ->        1
1594.7     ->        1
1595.4     ->        1
1596.4     ->        2
1596.7     ->        1
1596.9     ->        1
1597.4     ->        1
1597.5     ->        1
1598.4     ->        1
1598.6     ->        1
1599.4     ->        1
1599.5     ->        1
1599.6     ->        2
1601.4     ->        1
1601.9     ->        1
1602.9     ->        1
1603.2     ->        1
1603.3     ->        1
1603.7     ->        1
1604.2     ->        3
1604.4     ->        1
1604.6     ->        1
 1605     ->        1
1605.5     ->        1
1605.8     ->        1
1606.3     ->        1
1606.6     ->        1
1607.4     ->        1
1607.8     ->        1
1607.9     ->        1
1608.5     ->        2
1609.9     ->        1
1610.4     ->        1
1610.9     ->        1
1611.6     ->        1
1611.7     ->        1
1613.2     ->        1
1613.8     ->        1
1614.5     ->        2
 1615     ->        1
1615.1     ->        2
1615.2     ->        1
1615.7     ->        1
1616.4     ->        1
1617.8     ->        1
1618.2     ->        1
1619.4     ->        1
1619.8     ->        1
1620.7     ->        1
1621.2     ->        1
1621.3     ->        1
1621.6     ->        1
1622.5     ->        2
 1623     ->        1
1623.1     ->        1
1623.2     ->        1
1623.3     ->        1
1623.5     ->        1
1623.6     ->        1
1623.7     ->        1
 1624     ->        1
1625.4     ->        1
1625.6     ->        2
1625.7     ->        1
1626.2     ->        1
1626.3     ->        1
1626.5     ->        1
 1629     ->        1
1629.1     ->        1
1630.3     ->        1
1630.4     ->        1
1630.9     ->        1
1631.1     ->        1
1632.1     ->        1
1632.8     ->        1
1634.2     ->        2
1634.4     ->        1
1634.5     ->        1
1634.8     ->        1
1635.2     ->        1
1635.7     ->        1
1635.8     ->        1
1636.3     ->        1
1636.4     ->        1
1636.5     ->        1
1637.2     ->        1
1637.8     ->        1
 1638     ->        1
1638.2     ->        1
1638.5     ->        1
1639.2     ->        1
1639.3     ->        2
1639.6     ->        1
1639.7     ->        2
1639.8     ->        1
1640.8     ->        1
1640.9     ->        1
 1641     ->        1
1641.3     ->        2
1641.7     ->        1
1642.3     ->        1
1642.8     ->        1
1643.4     ->        1
1643.5     ->        1
1643.6     ->        1
1643.8     ->        1
1643.9     ->        1
1644.4     ->        1
1644.6     ->        1
1645.6     ->        1
1645.7     ->        1
1645.9     ->        1
1646.2     ->        1
1646.3     ->        1
 1647     ->        1
1647.1     ->        1
1647.5     ->        1
1647.7     ->        1
1647.8     ->        1
1648.5     ->        1
1649.2     ->        4
1649.8     ->        1
1649.9     ->        1
1650.2     ->        2
1650.6     ->        1
1650.9     ->        2
1651.4     ->        2
1651.8     ->        1
1652.4     ->        1
1652.5     ->        1
1652.6     ->        2
1652.7     ->        1
1652.9     ->        1
1653.1     ->        1
1653.2     ->        3
1653.3     ->        1
1654.2     ->        2
1654.9     ->        2
1655.1     ->        1
1655.8     ->        2
1656.4     ->        1
1656.6     ->        1
1656.9     ->        2
1657.4     ->        1
1657.6     ->        1
1658.2     ->        1
1658.3     ->        1
1658.7     ->        1
1659.1     ->        1
1659.3     ->        1
1660.2     ->        1
1660.3     ->        1
1660.6     ->        1
1660.8     ->        1
1661.3     ->        1
1661.5     ->        1
1662.1     ->        1
1662.3     ->        1
1662.6     ->        1
1662.9     ->        2
1663.1     ->        1
1663.3     ->        1
1663.4     ->        1
1663.9     ->        1
1664.1     ->        1
1664.6     ->        2
1666.1     ->        1
1666.6     ->        2
1666.8     ->        1
1667.2     ->        1
1667.3     ->        2
1667.5     ->        2
1667.6     ->        1
1667.7     ->        1
1667.8     ->        1
 1668     ->        2
1668.7     ->        2
 1669     ->        1
1669.1     ->        3
1669.6     ->        2
1669.9     ->        1
 1670     ->        1
1670.4     ->        2
1670.8     ->        1
1670.9     ->        1
1671.6     ->        1
1671.7     ->        1
1672.6     ->        1
1672.9     ->        1
1673.1     ->        1
1673.7     ->        1
1674.6     ->        1
1674.7     ->        1
1674.9     ->        1
1675.2     ->        1
1675.3     ->        1
1675.5     ->        1
1675.6     ->        1
1675.9     ->        2
1676.6     ->        1
1676.8     ->        1
1677.2     ->        1
1677.7     ->        1
 1678     ->        2
1678.3     ->        1
1678.8     ->        2
1679.7     ->        1
1679.8     ->        1
 1680     ->        1
1680.1     ->        1
1680.3     ->        4
1680.5     ->        1
1680.7     ->        1
1681.3     ->        1
1681.8     ->        2
1682.3     ->        1
1682.6     ->        1
1682.7     ->        1
1682.9     ->        1
 1683     ->        2
1683.2     ->        1
1683.3     ->        1
1683.6     ->        1
1683.7     ->        1
1683.8     ->        1
 1684     ->        1
1684.1     ->        1
1684.2     ->        1
1684.3     ->        2
1684.4     ->        1
1684.5     ->        1
1684.7     ->        1
1684.9     ->        1
 1685     ->        1
1685.2     ->        1
1685.5     ->        1
 1686     ->        1
1686.1     ->        3
1686.3     ->        1
1686.4     ->        2
1687.2     ->        1
1687.7     ->        2
1687.9     ->        1
 1688     ->        2
1688.1     ->        1
1688.3     ->        1
1689.3     ->        2
1689.6     ->        2
1690.1     ->        1
1690.2     ->        1
1690.5     ->        1
1690.6     ->        1
1691.2     ->        2
1691.3     ->        1
1691.6     ->        1
1691.8     ->        2
 1692     ->        1
1692.4     ->        1
1692.8     ->        2
1692.9     ->        2
1693.3     ->        1
1693.5     ->        1
1693.7     ->        1
1693.8     ->        1
1693.9     ->        1
1694.1     ->        1
1694.4     ->        1
1694.6     ->        1
1694.8     ->        1
1695.2     ->        1
1695.4     ->        1
1695.5     ->        2
1695.8     ->        1
1695.9     ->        1
1696.2     ->        2
1696.4     ->        1
1696.5     ->        1
1696.7     ->        1
1697.1     ->        1
1697.5     ->        1
1697.8     ->        1
1698.2     ->        1
1698.3     ->        1
1698.5     ->        1
1698.6     ->        1
1698.8     ->        1
1699.1     ->        2
1699.2     ->        1
1699.3     ->        1
1699.6     ->        1
 1700     ->        1
1700.1     ->        3
1700.7     ->        1
1700.8     ->        1
1700.9     ->        1
1701.9     ->        1
1702.1     ->        2
1702.6     ->        1
1703.1     ->        1
1703.2     ->        1
1703.3     ->        1
1703.8     ->        2
1703.9     ->        2
 1704     ->        1
1704.1     ->        1
1704.7     ->        3
1704.9     ->        1
 1705     ->        2
1705.2     ->        1
1705.4     ->        1
1705.7     ->        1
1706.2     ->        1
1706.3     ->        1
1706.4     ->        1
1706.5     ->        1
1706.7     ->        2
1706.8     ->        2
1706.9     ->        2
 1707     ->        1
1707.1     ->        1
1707.5     ->        1
1707.6     ->        1
1707.8     ->        2
 1708     ->        1
1708.2     ->        1
1708.8     ->        2
 1709     ->        1
1709.1     ->        1
1709.3     ->        1
1709.4     ->        1
1709.5     ->        4
1709.7     ->        1
 1710     ->        1
1710.1     ->        1
1710.2     ->        1
1710.4     ->        1
1710.5     ->        1
1710.7     ->        1
1710.8     ->        1
1710.9     ->        1
1711.4     ->        1
1711.5     ->        2
1712.4     ->        1
1712.5     ->        4
1712.8     ->        1
1712.9     ->        1
 1713     ->        1
1713.2     ->        3
1713.4     ->        1
1713.5     ->        1
1713.8     ->        1
 1714     ->        1
1714.3     ->        1
1714.4     ->        1
1714.6     ->        1
1714.9     ->        2
 1715     ->        1
1715.1     ->        1
1715.5     ->        2
1715.6     ->        1
1715.7     ->        1
1715.9     ->        1
1716.1     ->        2
1716.2     ->        1
1716.3     ->        1
1716.4     ->        1
1716.5     ->        1
 1717     ->        1
1717.5     ->        1
1717.6     ->        1
1717.7     ->        2
1717.9     ->        1
1718.1     ->        1
1718.6     ->        1
1718.7     ->        2
1719.1     ->        3
1719.2     ->        1
1719.3     ->        1
1719.4     ->        1
1719.6     ->        1
 1720     ->        2
1720.1     ->        1
1720.2     ->        1
1720.8     ->        1
 1721     ->        1
1721.1     ->        1
1721.5     ->        1
1721.6     ->        2
1721.7     ->        1
 1722     ->        2
1722.2     ->        1
1722.3     ->        1
1722.5     ->        1
1722.6     ->        1
1722.7     ->        1
1722.8     ->        2
 1723     ->        1
1723.3     ->        1
1723.4     ->        1
1723.6     ->        2
1723.7     ->        2
1723.9     ->        2
 1724     ->        1
1724.1     ->        1
1724.3     ->        1
1724.4     ->        1
1724.5     ->        2
1724.7     ->        3
1724.8     ->        1
 1725     ->        1
1725.1     ->        2
1725.7     ->        4
 1726     ->        2
1726.1     ->        1
1726.3     ->        1
1726.4     ->        1
1726.5     ->        1
1727.1     ->        1
1727.4     ->        1
1727.7     ->        1
1727.8     ->        1
 1728     ->        1
1728.9     ->        1
1729.2     ->        1
1729.3     ->        1
1729.4     ->        2
1729.6     ->        1
1729.8     ->        2
1729.9     ->        1
 1730     ->        1
1730.3     ->        3
1730.4     ->        2
1730.5     ->        2
1730.7     ->        1
1730.8     ->        2
1730.9     ->        1
 1731     ->        1
1731.3     ->        1
1731.5     ->        1
1731.6     ->        1
1731.7     ->        1
