DISTANCIA   VECES QUE SE REPITE
1693.5     ->        1
1708.8     ->        1
 1723     ->        1
1734.4     ->        1
1790.4     ->        1
1839.2     ->        1
 1858     ->        1
1866.3     ->        1
1871.7     ->        1
1873.4     ->        1
1874.3     ->        1
1877.2     ->        1
1888.8     ->        1
1899.3     ->        1
1904.5     ->        1
1919.6     ->        1
1922.7     ->        1
1928.1     ->        1
1929.6     ->        1
1930.2     ->        1
1936.1     ->        1
1936.2     ->        1
1937.7     ->        1
 1940     ->        1
1942.4     ->        1
1948.4     ->        1
1949.1     ->        1
1951.7     ->        1
1954.2     ->        1
1954.9     ->        1
1955.1     ->        1
1955.8     ->        1
1956.4     ->        1
1957.2     ->        1
1957.3     ->        1
1959.6     ->        1
1960.4     ->        1
1966.1     ->        1
1966.8     ->        1
1975.7     ->        1
1978.2     ->        1
1978.8     ->        1
1979.5     ->        1
1979.8     ->        1
1988.4     ->        1
 1990     ->        1
1992.5     ->        1
1993.1     ->        1
 1999     ->        1
1999.5     ->        1
2002.4     ->        1
2003.7     ->        1
2004.2     ->        1
2005.7     ->        1
 2008     ->        1
2008.5     ->        1
2012.5     ->        1
2014.8     ->        1
2016.4     ->        1
2016.7     ->        1
2017.4     ->        1
2018.3     ->        1
2021.9     ->        1
2022.1     ->        1
2022.6     ->        1
2022.8     ->        1
2023.1     ->        1
 2024     ->        1
 2025     ->        1
2026.1     ->        1
2026.7     ->        1
2027.7     ->        1
2028.1     ->        1
2030.3     ->        1
2031.3     ->        1
 2032     ->        1
2032.2     ->        1
2033.1     ->        1
2035.5     ->        1
2036.5     ->        1
2036.9     ->        1
2038.8     ->        1
2038.9     ->        1
2039.4     ->        1
2041.2     ->        1
2043.2     ->        1
2044.4     ->        1
2045.3     ->        1
2046.6     ->        1
2048.4     ->        1
2048.5     ->        1
2054.3     ->        1
2054.8     ->        1
2055.2     ->        1
2057.3     ->        2
2059.7     ->        1
 2060     ->        1
2060.1     ->        1
2061.1     ->        1
2061.7     ->        1
2062.1     ->        1
2062.3     ->        1
2064.3     ->        1
2065.2     ->        1
2065.9     ->        1
2067.4     ->        2
 2068     ->        1
2071.6     ->        1
2073.3     ->        1
 2076     ->        1
2077.6     ->        1
2077.7     ->        1
2078.2     ->        1
2078.4     ->        1
2078.5     ->        1
2079.5     ->        1
2080.6     ->        1
2080.8     ->        2
 2081     ->        1
2081.1     ->        1
2081.5     ->        1
2081.7     ->        1
2082.1     ->        1
2082.4     ->        1
2082.8     ->        1
 2083     ->        1
2083.6     ->        1
2085.6     ->        1
2086.1     ->        1
2086.7     ->        1
2086.8     ->        1
 2087     ->        1
2087.1     ->        1
2087.5     ->        1
2087.6     ->        1
2088.9     ->        2
2090.4     ->        1
2090.5     ->        1
2090.8     ->        1
2091.5     ->        1
2092.4     ->        1
2093.5     ->        1
 2095     ->        1
2095.7     ->        1
2095.8     ->        1
2096.5     ->        1
2096.9     ->        1
2097.4     ->        1
2098.2     ->        1
2098.3     ->        1
2098.4     ->        1
2098.5     ->        2
2098.6     ->        1
2099.1     ->        1
 2100     ->        1
2100.6     ->        1
2100.7     ->        1
2101.1     ->        2
2102.2     ->        1
2102.5     ->        1
2102.6     ->        1
2102.7     ->        1
2102.9     ->        1
 2104     ->        1
2104.7     ->        1
2104.8     ->        1
2104.9     ->        1
2105.2     ->        2
 2106     ->        1
2106.3     ->        1
2106.4     ->        1
2106.6     ->        1
2108.5     ->        1
2109.1     ->        1
2109.2     ->        1
2109.3     ->        1
2110.3     ->        1
2110.4     ->        1
 2111     ->        1
2111.6     ->        1
2112.2     ->        1
2112.6     ->        1
2113.1     ->        1
2113.4     ->        1
2113.6     ->        1
2113.9     ->        1
2114.1     ->        1
 2115     ->        1
2115.4     ->        1
2115.5     ->        1
2115.6     ->        1
 2116     ->        1
2116.1     ->        1
2116.2     ->        1
2116.6     ->        1
2116.8     ->        1
 2118     ->        1
2118.3     ->        1
2118.4     ->        1
2119.3     ->        2
2122.2     ->        1
2122.4     ->        2
2122.6     ->        1
2123.3     ->        1
2123.9     ->        1
2124.3     ->        1
2125.5     ->        1
2125.6     ->        1
2125.7     ->        1
2125.9     ->        1
2126.2     ->        1
2126.5     ->        1
2127.5     ->        1
2127.9     ->        1
2128.5     ->        1
2129.5     ->        1
2130.1     ->        1
2130.3     ->        1
2130.4     ->        1
2130.6     ->        2
2130.7     ->        1
2131.1     ->        1
2131.4     ->        1
2131.6     ->        2
2131.9     ->        1
2133.2     ->        1
2133.5     ->        1
2133.6     ->        2
2133.8     ->        1
2134.1     ->        1
2134.5     ->        1
2134.6     ->        1
2134.7     ->        1
2134.9     ->        1
2135.4     ->        2
2135.6     ->        1
2135.8     ->        1
2136.2     ->        1
2136.3     ->        1
2136.4     ->        1
2137.3     ->        1
2137.9     ->        1
2138.1     ->        1
2138.4     ->        1
2138.5     ->        1
2138.8     ->        1
2139.1     ->        2
2139.2     ->        1
2139.3     ->        1
2140.1     ->        1
2140.2     ->        1
2140.4     ->        1
 2141     ->        1
2141.5     ->        1
2141.6     ->        1
2141.9     ->        1
2142.1     ->        1
2143.1     ->        2
2143.6     ->        1
2143.9     ->        1
2144.4     ->        1
 2145     ->        1
2145.3     ->        1
2145.4     ->        1
2145.5     ->        1
2146.1     ->        2
2146.2     ->        1
2146.9     ->        1
2147.1     ->        1
2147.4     ->        1
2147.6     ->        1
2148.6     ->        1
2148.8     ->        1
 2149     ->        1
2149.6     ->        1
 2150     ->        1
2150.2     ->        1
2150.7     ->        1
2150.8     ->        1
 2151     ->        1
2151.3     ->        2
2151.4     ->        1
2151.5     ->        1
2151.7     ->        2
2151.9     ->        1
 2152     ->        1
2152.5     ->        1
2153.2     ->        1
2153.8     ->        1
 2154     ->        1
2154.6     ->        1
2154.7     ->        2
 2155     ->        1
2155.2     ->        1
2155.6     ->        1
2155.7     ->        1
2155.8     ->        2
2156.1     ->        3
2156.5     ->        1
2156.7     ->        1
2156.9     ->        1
 2157     ->        1
