DISTANCIA   VECES QUE SE REPITE
 1971     ->        1
2042.3     ->        1
2056.8     ->        1
2073.3     ->        1
2095.3     ->        1
2128.4     ->        1
2138.8     ->        1
2140.2     ->        1
2142.8     ->        1
2164.4     ->        1
2186.4     ->        1
2187.9     ->        1
 2188     ->        1
2189.5     ->        1
2192.6     ->        1
2204.5     ->        1
2208.8     ->        1
2209.8     ->        1
2209.9     ->        1
2215.5     ->        1
2215.8     ->        1
2216.7     ->        1
2220.7     ->        1
2221.8     ->        1
2223.7     ->        1
2226.2     ->        1
2235.3     ->        1
2237.7     ->        1
2241.9     ->        1
2242.9     ->        1
2247.7     ->        1
2249.1     ->        1
 2251     ->        1
2251.8     ->        2
2253.4     ->        1
2254.6     ->        1
2254.9     ->        1
2255.2     ->        1
2256.9     ->        1
2257.6     ->        1
2257.7     ->        1
2260.4     ->        1
2261.3     ->        1
2264.7     ->        1
2265.4     ->        1
2267.6     ->        1
2272.1     ->        1
2273.7     ->        1
2273.9     ->        1
2275.2     ->        1
2277.3     ->        1
2278.3     ->        1
2278.8     ->        1
2280.1     ->        1
2280.5     ->        1
 2285     ->        1
 2286     ->        1
2287.5     ->        1
2287.7     ->        1
 2288     ->        1
2288.8     ->        1
2288.9     ->        1
2289.6     ->        1
2290.9     ->        1
2292.3     ->        1
2294.7     ->        1
 2295     ->        1
2295.2     ->        1
2296.9     ->        1
2297.7     ->        1
2299.5     ->        1
2300.6     ->        1
2300.8     ->        1
2301.5     ->        1
2303.3     ->        1
2305.2     ->        1
 2309     ->        1
2310.3     ->        1
2310.9     ->        1
 2311     ->        1
2314.9     ->        1
2315.5     ->        1
2316.4     ->        1
2317.2     ->        1
2318.3     ->        1
2321.1     ->        1
2321.6     ->        1
2322.1     ->        1
2323.1     ->        1
2323.4     ->        1
2323.8     ->        1
2324.6     ->        1
2325.8     ->        1
2326.4     ->        1
2326.7     ->        1
2329.3     ->        1
2332.6     ->        1
2332.7     ->        1
2333.1     ->        1
2335.6     ->        1
2335.9     ->        1
2336.2     ->        1
2336.5     ->        1
2338.4     ->        1
2338.6     ->        1
 2339     ->        1
2339.6     ->        1
 2340     ->        1
2340.1     ->        1
2341.3     ->        1
2341.9     ->        1
2342.4     ->        1
2342.5     ->        1
2345.1     ->        1
2347.2     ->        1
2348.2     ->        1
2350.5     ->        2
2352.3     ->        1
2352.4     ->        1
2353.5     ->        1
2355.3     ->        1
2358.5     ->        1
 2359     ->        1
2359.2     ->        1
2359.6     ->        1
2359.8     ->        1
2359.9     ->        1
2361.9     ->        1
2365.1     ->        1
2365.9     ->        1
2366.2     ->        1
2366.5     ->        1
2366.9     ->        1
2367.6     ->        1
2367.8     ->        1
2368.2     ->        1
 2369     ->        1
2369.1     ->        1
2370.7     ->        1
 2371     ->        1
2371.8     ->        1
2372.1     ->        1
2373.4     ->        1
2373.5     ->        1
2373.8     ->        1
 2374     ->        1
2374.1     ->        1
2374.6     ->        1
 2375     ->        1
2375.1     ->        1
2375.2     ->        1
2375.6     ->        1
2375.8     ->        1
 2376     ->        1
2376.5     ->        2
 2377     ->        1
 2379     ->        1
2379.1     ->        1
 2380     ->        2
2381.1     ->        1
2381.3     ->        1
2381.5     ->        1
2382.1     ->        1
 2383     ->        1
2384.8     ->        1
2384.9     ->        1
2385.1     ->        2
2385.7     ->        1
2386.3     ->        2
2387.1     ->        1
2387.3     ->        1
 2388     ->        1
2388.3     ->        1
2389.1     ->        1
 2390     ->        1
2390.4     ->        3
2390.7     ->        2
2391.2     ->        1
 2392     ->        1
2392.7     ->        2
2392.9     ->        1
2393.9     ->        1
2395.1     ->        1
2395.7     ->        1
2396.2     ->        1
2396.8     ->        1
2397.7     ->        1
2399.2     ->        1
2400.2     ->        1
2400.3     ->        1
2400.9     ->        1
2401.1     ->        1
2401.5     ->        1
2401.6     ->        1
2402.8     ->        1
2402.9     ->        2
2403.1     ->        1
2403.9     ->        1
2404.3     ->        2
2404.5     ->        1
2405.4     ->        1
2406.9     ->        2
2407.1     ->        1
2407.2     ->        1
2407.7     ->        1
2409.4     ->        1
2410.1     ->        1
2410.7     ->        1
 2411     ->        1
2411.1     ->        1
2413.2     ->        1
2413.7     ->        1
2415.2     ->        1
2415.3     ->        1
2415.8     ->        1
2416.1     ->        1
2416.8     ->        2
 2417     ->        2
2417.1     ->        1
2417.4     ->        1
2418.9     ->        1
2419.3     ->        1
2419.5     ->        1
2419.9     ->        1
2421.1     ->        1
2421.2     ->        1
2422.2     ->        1
2422.6     ->        2
 2423     ->        1
2423.3     ->        1
2423.4     ->        1
2423.8     ->        1
2424.2     ->        1
2424.5     ->        1
 2425     ->        2
2425.2     ->        1
2425.5     ->        1
2425.9     ->        1
2426.2     ->        1
2426.4     ->        1
2426.7     ->        1
2426.9     ->        1
2427.3     ->        3
2427.5     ->        1
2427.8     ->        1
 2428     ->        1
2428.3     ->        1
2428.8     ->        2
 2429     ->        1
2431.1     ->        1
2431.4     ->        1
2431.6     ->        2
2431.7     ->        1
 2432     ->        1
2432.1     ->        2
2432.4     ->        1
2432.6     ->        1
2432.7     ->        1
2432.9     ->        1
2433.1     ->        1
2433.5     ->        1
2433.8     ->        1
2435.3     ->        1
2435.8     ->        1
2435.9     ->        1
2436.8     ->        1
 2437     ->        2
2437.6     ->        1
2438.1     ->        1
2438.2     ->        1
2438.5     ->        1
2439.2     ->        2
2439.3     ->        1
2440.2     ->        1
2440.3     ->        1
 2441     ->        1
2441.1     ->        1
 2442     ->        1
2442.4     ->        1
 2443     ->        1
2443.6     ->        1
 2444     ->        1
2444.4     ->        1
2444.6     ->        1
2445.7     ->        1
2445.9     ->        1
2446.6     ->        1
2446.7     ->        1
 2448     ->        1
2448.1     ->        1
2448.4     ->        1
2448.5     ->        1
2448.8     ->        1
2449.2     ->        1
2449.6     ->        3
2450.1     ->        1
2450.3     ->        1
2450.5     ->        1
2450.9     ->        1
 2451     ->        1
