DISTANCIA   VECES QUE SE REPITE
1361.2     ->        1
1391.7     ->        1
1411.1     ->        1
1426.6     ->        1
1453.8     ->        1
1455.7     ->        1
1470.8     ->        1
1471.3     ->        1
1472.2     ->        1
1502.4     ->        1
1504.9     ->        1
1506.9     ->        1
1513.4     ->        1
1519.9     ->        1
1525.5     ->        1
1526.2     ->        1
1528.8     ->        1
1530.8     ->        1
1533.2     ->        1
1535.7     ->        1
1538.3     ->        1
1542.2     ->        1
1543.3     ->        1
1548.8     ->        1
1549.7     ->        1
1549.8     ->        1
 1561     ->        1
 1572     ->        1
1574.9     ->        1
1575.8     ->        1
1583.2     ->        1
1585.3     ->        1
1588.1     ->        1
1590.1     ->        1
1597.2     ->        1
1600.7     ->        1
1601.7     ->        1
1601.8     ->        1
 1603     ->        1
1603.1     ->        1
 1605     ->        1
1605.9     ->        1
1606.1     ->        1
1606.9     ->        1
1607.2     ->        1
1609.7     ->        1
1610.9     ->        1
1611.2     ->        1
1614.1     ->        1
1615.1     ->        1
1615.4     ->        1
1616.7     ->        1
1619.1     ->        1
1619.9     ->        1
1620.8     ->        1
1621.5     ->        1
1624.3     ->        1
1626.3     ->        1
1627.9     ->        1
1628.4     ->        1
1629.1     ->        1
1629.6     ->        1
 1630     ->        1
1630.1     ->        1
 1631     ->        1
1631.3     ->        1
1632.9     ->        1
1633.5     ->        1
1633.8     ->        1
1634.6     ->        1
1634.8     ->        1
 1635     ->        1
1635.3     ->        1
1636.4     ->        1
1637.6     ->        1
1637.9     ->        1
1639.4     ->        1
1640.2     ->        2
1641.6     ->        1
1641.8     ->        1
1643.3     ->        1
1645.4     ->        1
1647.7     ->        1
 1650     ->        1
1650.5     ->        1
1650.8     ->        1
 1651     ->        2
1651.7     ->        1
1652.2     ->        2
1652.4     ->        1
1653.2     ->        1
1653.5     ->        1
 1654     ->        1
1654.8     ->        1
 1655     ->        2
1655.8     ->        1
1656.2     ->        2
1656.8     ->        1
1657.3     ->        1
1659.9     ->        1
1660.2     ->        1
1660.8     ->        1
1660.9     ->        1
1661.2     ->        1
1662.4     ->        1
1663.4     ->        1
1663.8     ->        1
1664.2     ->        1
1665.2     ->        1
1665.3     ->        1
1666.2     ->        1
1666.6     ->        1
1667.1     ->        2
1667.5     ->        1
1667.7     ->        1
1667.8     ->        1
1667.9     ->        1
1668.1     ->        1
1668.2     ->        2
1668.6     ->        1
1669.5     ->        1
1670.2     ->        1
1671.5     ->        1
1672.6     ->        1
1673.1     ->        1
1673.8     ->        1
 1674     ->        1
1674.4     ->        1
 1675     ->        1
1675.1     ->        1
1675.5     ->        1
1675.6     ->        1
1675.7     ->        1
 1676     ->        1
1677.5     ->        1
1678.4     ->        1
1679.4     ->        1
 1680     ->        1
1680.1     ->        1
1680.3     ->        1
1680.8     ->        1
1680.9     ->        1
1681.1     ->        1
1681.2     ->        1
1681.3     ->        1
1681.6     ->        1
1682.8     ->        1
