DISTANCIA   VECES QUE SE REPITE
1899.5     ->        1
2093.1     ->        1
2097.6     ->        1
2100.8     ->        1
2110.2     ->        1
2112.1     ->        1
2125.9     ->        1
2126.1     ->        1
2145.3     ->        1
2145.6     ->        1
2147.5     ->        1
2152.3     ->        1
 2159     ->        1
2168.4     ->        1
2172.5     ->        1
 2184     ->        1
2184.8     ->        1
2188.3     ->        1
2207.7     ->        1
 2208     ->        1
2210.3     ->        1
2218.3     ->        1
2218.4     ->        1
2223.9     ->        1
 2225     ->        1
2225.5     ->        1
2229.2     ->        1
2229.8     ->        1
2230.4     ->        1
2231.1     ->        1
 2233     ->        1
 2238     ->        1
2240.3     ->        1
2244.4     ->        1
2249.5     ->        1
 2255     ->        1
2257.7     ->        1
2262.4     ->        1
2264.2     ->        1
2267.1     ->        2
2267.7     ->        1
2269.1     ->        1
2274.8     ->        1
2275.9     ->        1
 2278     ->        2
2281.2     ->        1
2281.8     ->        1
 2282     ->        1
2283.7     ->        1
2284.3     ->        1
2284.7     ->        1
2289.1     ->        1
2289.9     ->        1
2290.7     ->        1
2292.4     ->        1
 2294     ->        1
2295.7     ->        1
2297.2     ->        1
2298.3     ->        1
2298.7     ->        1
2301.7     ->        1
2303.3     ->        1
2305.1     ->        1
2305.2     ->        1
2306.2     ->        1
2306.8     ->        1
 2307     ->        1
2307.3     ->        1
2313.3     ->        1
2313.9     ->        1
2314.9     ->        1
2315.3     ->        1
2316.2     ->        1
2318.5     ->        1
2327.8     ->        1
2328.5     ->        2
2328.6     ->        1
2329.7     ->        1
2329.9     ->        1
 2330     ->        1
2330.3     ->        1
2330.8     ->        1
2335.2     ->        1
 2336     ->        1
2336.4     ->        1
2338.3     ->        1
2340.1     ->        3
2342.9     ->        1
2347.7     ->        1
2349.3     ->        1
2349.8     ->        1
 2350     ->        1
2350.5     ->        1
2351.1     ->        1
2351.9     ->        1
2353.1     ->        1
2353.4     ->        1
2354.1     ->        1
2355.6     ->        1
2356.7     ->        2
 2358     ->        1
2358.2     ->        1
2358.5     ->        1
2359.3     ->        1
2361.4     ->        1
2361.6     ->        1
2362.6     ->        1
2364.5     ->        1
2368.1     ->        1
2368.4     ->        2
2369.8     ->        1
2369.9     ->        1
2370.1     ->        1
2370.7     ->        1
2371.3     ->        1
2371.6     ->        1
2373.2     ->        1
 2376     ->        1
2376.4     ->        1
2376.5     ->        1
2378.9     ->        1
2382.3     ->        1
2382.4     ->        1
 2384     ->        1
2384.5     ->        1
2384.6     ->        1
2384.7     ->        1
2384.8     ->        1
2385.1     ->        1
2385.9     ->        1
2386.8     ->        1
 2388     ->        1
2388.5     ->        1
2388.7     ->        1
2389.1     ->        1
2389.7     ->        1
2390.3     ->        1
2391.1     ->        1
2391.3     ->        1
2392.8     ->        1
2393.7     ->        1
2394.2     ->        1
2395.1     ->        1
2395.2     ->        1
2395.5     ->        1
2396.5     ->        1
2397.3     ->        1
2397.6     ->        1
2397.9     ->        1
2398.1     ->        1
2398.3     ->        1
2399.2     ->        1
2399.7     ->        2
 2400     ->        1
2400.9     ->        1
2401.6     ->        1
 2402     ->        1
2402.1     ->        1
2402.7     ->        1
2402.9     ->        1
2403.2     ->        2
2403.9     ->        2
2404.3     ->        1
2404.7     ->        1
2406.5     ->        1
2406.8     ->        1
2406.9     ->        1
2407.1     ->        1
2407.2     ->        1
2407.7     ->        1
2407.9     ->        1
2408.1     ->        1
2408.2     ->        1
2408.3     ->        1
2408.7     ->        1
2408.9     ->        1
2409.7     ->        1
2409.8     ->        1
2411.6     ->        1
2412.3     ->        1
2413.6     ->        1
2413.9     ->        1
2414.3     ->        1
2414.7     ->        1
2414.9     ->        1
2415.1     ->        1
2415.3     ->        1
 2416     ->        1
2416.6     ->        1
2416.8     ->        1
 2417     ->        1
2417.3     ->        1
2417.4     ->        1
2417.8     ->        2
2417.9     ->        1
2418.1     ->        1
2418.2     ->        1
2418.9     ->        1
 2419     ->        1
2419.1     ->        1
2419.5     ->        1
2419.9     ->        2
2420.2     ->        1
2420.7     ->        2
2421.4     ->        1
2421.5     ->        1
2422.3     ->        1
2422.6     ->        1
2422.7     ->        1
2422.9     ->        1
2423.5     ->        1
 2424     ->        1
2424.5     ->        1
2424.7     ->        2
2424.8     ->        2
2425.3     ->        1
2426.2     ->        1
2426.8     ->        1
2427.5     ->        1
 2428     ->        1
2428.8     ->        3
 2429     ->        1
2430.2     ->        1
2430.9     ->        2
2431.2     ->        1
2431.7     ->        1
2431.8     ->        1
2432.3     ->        1
2432.4     ->        1
2433.6     ->        1
2433.8     ->        1
2434.5     ->        1
