DISTANCIA   VECES QUE SE REPITE
464.6     ->        1
482.4     ->        1
493.1     ->        1
499.1     ->        1
500.7     ->        1
521.2     ->        1
529.5     ->        1
538.6     ->        1
541.3     ->        1
  561     ->        1
561.9     ->        1
564.8     ->        1
574.5     ->        1
580.9     ->        1
599.5     ->        1
600.7     ->        1
605.2     ->        1
614.5     ->        1
616.3     ->        1
616.6     ->        1
618.6     ->        1
623.7     ->        1
626.3     ->        1
626.4     ->        1
630.9     ->        1
631.7     ->        1
634.9     ->        1
635.7     ->        1
646.2     ->        1
652.4     ->        1
659.8     ->        2
661.1     ->        1
  662     ->        1
662.4     ->        1
671.5     ->        1
676.4     ->        1
676.9     ->        1
678.7     ->        1
679.4     ->        1
684.2     ->        1
684.3     ->        1
685.9     ->        1
  686     ->        1
686.2     ->        1
686.4     ->        1
  694     ->        1
695.8     ->        1
  698     ->        1
701.1     ->        1
702.7     ->        1
703.9     ->        1
704.2     ->        1
707.1     ->        1
707.7     ->        1
708.7     ->        1
710.8     ->        1
713.5     ->        1
714.6     ->        1
715.9     ->        1
716.7     ->        1
  718     ->        1
720.3     ->        1
720.6     ->        1
722.1     ->        1
723.4     ->        1
723.8     ->        1
725.1     ->        1
726.2     ->        1
726.9     ->        1
728.1     ->        1
728.4     ->        1
728.8     ->        1
730.2     ->        1
731.2     ->        2
731.9     ->        1
732.8     ->        1
734.8     ->        1
737.9     ->        1
  738     ->        1
739.5     ->        1
740.5     ->        2
741.5     ->        1
741.6     ->        1
742.4     ->        1
742.9     ->        1
  743     ->        1
743.2     ->        1
743.3     ->        2
743.4     ->        1
  744     ->        1
744.1     ->        1
745.2     ->        1
745.6     ->        1
745.9     ->        1
747.1     ->        1
748.2     ->        2
748.7     ->        1
  749     ->        2
751.2     ->        1
751.8     ->        1
752.6     ->        1
752.8     ->        1
  754     ->        1
  755     ->        2
755.7     ->        1
756.2     ->        1
756.4     ->        1
  757     ->        1
758.2     ->        1
758.3     ->        1
758.8     ->        1
759.4     ->        1
760.4     ->        1
760.8     ->        1
763.2     ->        1
766.3     ->        1
767.6     ->        1
  768     ->        1
769.2     ->        1
769.7     ->        1
  771     ->        1
771.4     ->        1
771.6     ->        1
771.8     ->        1
774.2     ->        1
774.6     ->        1
774.7     ->        1
775.1     ->        1
775.2     ->        1
775.5     ->        1
776.3     ->        1
776.6     ->        1
776.8     ->        1
776.9     ->        1
777.4     ->        1
777.7     ->        2
778.4     ->        1
778.6     ->        1
778.9     ->        1
779.4     ->        1
780.2     ->        2
780.4     ->        1
  781     ->        1
781.5     ->        1
781.7     ->        1
782.9     ->        1
783.4     ->        1
783.6     ->        1
783.8     ->        1
784.4     ->        1
784.8     ->        1
785.1     ->        1
786.1     ->        1
786.2     ->        1
787.5     ->        1
787.8     ->        2
788.6     ->        1
  790     ->        2
790.6     ->        1
791.2     ->        1
792.1     ->        1
792.9     ->        1
793.4     ->        2
793.5     ->        1
793.9     ->        1
794.1     ->        2
794.2     ->        1
795.1     ->        1
796.3     ->        1
796.5     ->        1
796.6     ->        1
796.9     ->        1
797.6     ->        1
  799     ->        1
799.2     ->        1
799.4     ->        1
800.4     ->        1
800.6     ->        1
801.3     ->        1
801.8     ->        1
802.1     ->        1
802.4     ->        1
802.8     ->        2
802.9     ->        1
803.3     ->        1
803.9     ->        1
804.5     ->        1
804.6     ->        1
804.8     ->        1
805.2     ->        1
805.5     ->        1
805.6     ->        1
806.5     ->        1
806.8     ->        2
806.9     ->        1
807.1     ->        1
807.5     ->        1
808.2     ->        1
808.5     ->        1
  809     ->        1
809.4     ->        1
810.1     ->        1
810.4     ->        1
810.6     ->        1
810.9     ->        1
811.3     ->        1
811.5     ->        1
811.9     ->        1
812.6     ->        1
812.7     ->        2
812.9     ->        1
814.9     ->        1
815.1     ->        1
815.4     ->        1
815.8     ->        1
815.9     ->        1
  816     ->        1
816.4     ->        2
817.3     ->        1
818.1     ->        1
818.9     ->        1
819.1     ->        1
819.3     ->        1
819.4     ->        2
819.8     ->        2
821.7     ->        1
821.9     ->        1
822.5     ->        1
822.9     ->        1
  823     ->        1
823.7     ->        2
824.9     ->        1
  825     ->        1
825.5     ->        1
825.8     ->        1
826.4     ->        1
826.6     ->        1
826.8     ->        1
827.1     ->        1
827.3     ->        1
828.5     ->        1
828.9     ->        1
829.4     ->        1
829.6     ->        1
830.8     ->        1
  831     ->        1
831.8     ->        1
832.7     ->        3
833.6     ->        1
834.6     ->        1
834.8     ->        1
834.9     ->        1
835.3     ->        1
835.4     ->        1
  836     ->        1
836.1     ->        1
836.4     ->        1
836.5     ->        1
836.7     ->        1
836.8     ->        1
837.3     ->        2
838.2     ->        2
838.4     ->        1
839.2     ->        1
839.3     ->        1
839.5     ->        1
839.6     ->        1
839.9     ->        1
840.2     ->        2
841.1     ->        1
842.1     ->        1
842.9     ->        1
843.4     ->        1
843.9     ->        2
  844     ->        1
844.5     ->        1
845.2     ->        1
845.7     ->        1
845.9     ->        1
  846     ->        1
846.3     ->        1
846.5     ->        1
847.2     ->        1
847.9     ->        1
848.9     ->        1
  849     ->        1
849.2     ->        1
849.7     ->        1
850.1     ->        1
850.7     ->        2
  851     ->        1
851.1     ->        1
851.3     ->        1
851.5     ->        1
851.8     ->        2
851.9     ->        1
852.4     ->        1
  853     ->        1
853.1     ->        1
853.4     ->        2
853.5     ->        1
853.7     ->        1
  854     ->        1
854.5     ->        1
854.9     ->        1
855.4     ->        1
855.5     ->        1
855.7     ->        1
855.9     ->        1
856.1     ->        1
856.3     ->        1
856.7     ->        1
856.9     ->        1
857.4     ->        2
857.7     ->        1
857.9     ->        1
858.1     ->        1
858.2     ->        1
858.5     ->        1
858.9     ->        1
859.2     ->        1
859.6     ->        1
859.9     ->        1
860.8     ->        1
860.9     ->        1
  861     ->        2
861.5     ->        1
  863     ->        1
863.2     ->        1
863.4     ->        1
863.6     ->        1
863.7     ->        1
863.8     ->        1
  864     ->        1
864.4     ->        1
864.6     ->        1
864.7     ->        2
864.8     ->        1
864.9     ->        1
  865     ->        1
865.3     ->        1
865.4     ->        1
866.1     ->        1
866.3     ->        1
866.6     ->        1
867.4     ->        1
  868     ->        1
869.2     ->        1
869.5     ->        1
869.7     ->        1
870.1     ->        1
870.2     ->        2
870.4     ->        2
870.6     ->        1
870.8     ->        2
871.5     ->        1
871.9     ->        1
  872     ->        1
872.2     ->        1
872.5     ->        1
872.9     ->        1
873.4     ->        1
873.6     ->        1
874.1     ->        1
874.4     ->        1
874.7     ->        1
874.8     ->        1
874.9     ->        1
875.2     ->        1
875.4     ->        1
875.6     ->        1
875.8     ->        1
876.1     ->        1
876.2     ->        1
876.4     ->        1
877.4     ->        2
878.4     ->        1
878.6     ->        1
878.7     ->        1
878.8     ->        1
879.1     ->        1
879.5     ->        1
879.7     ->        3
879.8     ->        1
879.9     ->        1
880.1     ->        1
880.9     ->        1
  881     ->        1
881.5     ->        2
881.9     ->        1
  884     ->        1
884.5     ->        1
884.6     ->        2
884.8     ->        1
885.2     ->        1
885.8     ->        1
886.1     ->        1
886.2     ->        1
886.6     ->        1
887.4     ->        1
887.5     ->        2
887.7     ->        1
888.1     ->        1
888.2     ->        2
888.3     ->        1
888.7     ->        1
888.8     ->        1
889.1     ->        1
889.4     ->        1
889.9     ->        1
  890     ->        1
890.5     ->        1
890.6     ->        1
890.9     ->        1
891.8     ->        1
892.2     ->        1
892.5     ->        1
892.6     ->        2
893.2     ->        1
893.3     ->        1
893.6     ->        1
893.7     ->        1
893.9     ->        1
  894     ->        1
894.6     ->        1
894.7     ->        1
894.9     ->        1
  895     ->        1
895.1     ->        1
895.2     ->        1
895.6     ->        1
895.8     ->        1
  896     ->        1
896.2     ->        2
896.4     ->        1
896.7     ->        1
896.8     ->        2
897.3     ->        2
897.8     ->        1
898.1     ->        3
898.3     ->        1
898.5     ->        1
898.6     ->        1
898.8     ->        2
898.9     ->        2
899.1     ->        1
899.2     ->        2
899.5     ->        1
900.5     ->        1
  901     ->        1
901.4     ->        1
901.5     ->        1
901.6     ->        1
  902     ->        1
902.2     ->        1
902.4     ->        1
903.2     ->        1
903.3     ->        2
903.4     ->        1
903.6     ->        2
903.7     ->        1
903.9     ->        1
  904     ->        1
904.1     ->        1
904.2     ->        2
904.4     ->        2
904.5     ->        1
904.6     ->        1
905.8     ->        1
  906     ->        2
906.1     ->        1
906.3     ->        1
